Thương hiệu,Model,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Số chỗ ngồi,Số cửa,Dẫn động,Giá thành,Loại nhiên liệu,Dung tích động cơ,Đơn vị động cơ,Tuổi
Toyota,Prado,Used,10000,Imported,SUV,Automatic,7,5,4WD - 4 Wheel Drive,2699,Gas ,2.7,L,1
Ford,Territory,New,0,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,831,Gas ,1.5,L,0
Mazda,2,Used,50000,Domestic,SUV,Automatic,7,5,FWD - Front Wheel Drive,810,Gas ,2.5,L,2
Mitsubishi,Outlander,Used,80000,Imported,SUV,Automatic,5,5,FWD - Front Wheel Drive,495,Gas ,2.0,L,7
Lexus,RX,Used,60000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,995,Gas ,3.5,L,12
Subaru,Forester,Used,35000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,725,Gas ,2.0,L,4
Kia,Seltos,Used,12000,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,658,Gas ,1.4,L,1
Ford,Everest,Used,2500,Imported,SUV,Automatic,7,5,4WD - 4 Wheel Drive,1468,Diesel ,2.0,L,0
BMW,5 Series,Used,79000,Imported,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,550,Gas ,2.5,L,12
Ford,Territory,New,0,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,829,Gas ,1.5,L,0
Ford,Everest,New,0,Imported,SUV,Automatic,7,5,RFD - Rear Wheel Drive,1189,Diesel ,2.0,L,0
Ford,Ranger,New,0,Domestic,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,620,Diesel ,2.0,L,0
Mercedes Benz,GLB,Used,500,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,2699,Gas ,2.0,L,1
Kia,Morning,Used,10000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,365,Gas ,1.25,L,1
Toyota,Highlander,Used,60000,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,160,Gas ,2.7,L,8
Toyota,Fortuner,Used,40000,Domestic,SUV,Automatic,7,5,4WD - 4 Wheel Drive,1145,Diesel ,2.8,L,2
Toyota,Innova,Used,35000,Domestic,Crossover,Automatic,8,5,RFD - Rear Wheel Drive,625,Gas ,2.0,L,4
Nissan,X trail,Used,0,Domestic,SUV,Automatic,7,5,4WD - 4 Wheel Drive,658,Gas ,2.5,L,4
Ford,Everest,New,0,Imported,SUV,Automatic,7,5,RFD - Rear Wheel Drive,163,Diesel ,2.0,L,0
Ford,Territory,New,0,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,829,Gas ,1.5,L,0
Ford,Territory,New,0,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,829,Gas ,1.5,L,0
Peugeot,5008,Used,65000,Domestic,SUV,Automatic,7,5,FWD - Front Wheel Drive,690,Gas ,1.6,L,5
Ford,Explorer,New,0,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,2249,Gas ,2.3,L,0
Mazda,6,Used,0,Domestic,Sedan,Manual,5,4,FWD - Front Wheel Drive,88,Gas ,2.0,L,21
Mercedes Benz,GLC,Used,500,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,2239,Gas ,2.0,L,1
Ford,EcoSport,Used,68000,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,455,Gas ,1.5,L,4
Kia,Seltos,Used,26000,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,569,Gas ,1.4,L,2
Honda,City,Used,41000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,509,Gas ,1.5,L,1
Honda,Brio,Used,30758,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,395,Gas ,1.2,L,2
